candidate_identity_key,eccv_first_author_name,eccv_first_author_affiliation_raw,primary_affiliation_category,eccv_selected_paper_count,eccv_virtual_poster_ids,eccv_titles,identity_resolution_status,identity_profile_url,preferred_identity_evidence_source,prior_work_cutoff,verified_prior_work_row_count,review_status,notes
cai_b8qb30,Beom Young Kim,NAVER Cloud,KOREAN_COMPANY,1,3154,Learning from Adversity: Semantic-Aware Mask Refinement through Adversarial Perturbation,unreviewed,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,not_started,
cai_jr6jbb,Bonmu Do,Inha University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5644,TriNLOS: Triplane Representations for Neural Non-Line-of-Sight Imaging,unreviewed,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,not_started,
cai_ro66h9,Boseung Jeong,POSTECH,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4294,Learning Sample-wise Rank-Aware Interpolation Weights for Composed Visual Data Retrieval,resolved,https://boseungjeong.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_ lists the ECCV paper,incomplete
cai_12x2ya,Bryan Sangwoo Kim,Korea Advanced Institute of Science & Technology,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4355,Tiled Prompts: Overcoming Prompt Misguidance in Image and Video Super-Resolution,resolved,https://bryanswkim.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,One eligible first-listed NeurIPS 2025 paper is listed before the cutoff. The equal-contribution but second-listed CVPR 2025 paper is recorded separately and excluded from the primary count.
cai_1yyss68,Byeonggyu Park,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4784,Reflection-Aware Reasoning for Non-Line-of-Sight Pedestrian Localization,resolved,https://bingurrr.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_incomplete,At least one earlier eligible first-listed paper is verified. Exhaustive count still pending.
cai_1a10uti,Byeonghun Lee,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5013,ReAL: Reference-to-Image (R2I) Aware Latent Diffusion for Image Super-Resolution,unreviewed,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,not_started,
cai_18w3st,Byoungwoo Kim,KAIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,3383,ProSR: Semantic-Prototype-Guided Discrete Modeling for Physically Consistent SAR Super-Resolution,unreviewed,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,not_started,
cai_5k7e2r,Byungoh Ko,Korea University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,5807,Context Blindness in DPO: Mitigating Object Hallucination in MLLMs via Context-Calibrated Preference Optimization,unreviewed,,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,not_started,
cai_1gmil2t,Byungwoo Jeon,KAIST,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4502,SpatialBoost: Enhancing Visual Representation through Language-Guided Reasoning,resolved,https://rootyjeon.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,0,identity_resolved_prior_work_complete,Before the cutoff the listed publications are a first-listed CoRL workshop paper and a third-listed NeurIPS 2024 paper. Neither qualifies under the fixed first-listed main-conference rule.
cai_4234nl,Chaesong Park,Seoul National University,KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,1,4619,OmniDS: Dual-Stream Context Fusion for Omnidirectional Depth from Fisheye Cameras,resolved,https://parkchaesong.github.io/,"Official personal CV, institutional profile, ORCID, then official proceedings or publisher metadata",2026-03-05T23:00:00+01:00,1,identity_resolved_prior_work_complete,The sole pre-cutoff eligible first-listed paper shown is SC-Lane at ICCV 2025. HeightLane is WACV and excluded by the fixed venue scope.
